rule_number,title,chapter,statutory_act,statutory_rule,gazette_reference,category,priority,summary,enforcement_clause
Rule 1,Short Title and Commencement,Chapter I: Preliminary,"Legal Metrology Act, 2009 (1 of 2010)","The Legal Metrology (Packaged Commodities) Rules, 2011","Notification G.S.R. 202(E), dated 7th March 2011",Preliminary,High,"These rules may be called The Legal Metrology (Packaged Commodities) Rules, 2011. They came into force on the 1st day of April, 2011.",Foundational statutory citation governing pre-packaged commodities throughout India.
Rule 2,"Statutory Definitions (Dealer, Manufacturer, Packer, Net Quantity, PDP, Retail Package)",Chapter I: Preliminary,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 2",Definitions,High,"Defines statutory terms including 'dealer', 'lot', 'manufacturer' (including brand owners claiming product), 'Maximum permissible error' (First Schedule), 'net quantity' (excluding packaging/wrappers), 'packer', 'principal display panel' (total surface area for required information), 'retail dealer', 'retail package' (for ultimate consumers, excluding industrial/institutional), 'retail sale price' (MRP inclusive of all taxes with paise rounding rules), and 'wholesale package'.","Legal basis for establishing liability between manufacturer, packer, marketer, and retail dealer."
Rule 3,Applicability of Chapter II (Retail Packages),Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 3",Applicability,High,"Exempts packages containing quantity of more than 25 kg or 25 litres (excluding cement and fertilizer sold in bags up to 50 kg), and packaged commodities meant for industrial or institutional consumers.",Delineates retail scope vs industrial/bulk wholesale exemptions.
Rule 4,Regulation for Pre-packing and Sale of Commodities in Packaged Form,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 4",General Regulation,High,"Prohibits pre-packing, sale, distribution, or delivery of commodities unless the package or label bears all statutory declarations. Packages within manufacturer premises without MRP are not in violation provided MRP is affixed before leaving premises.",Section 36(1) prosecution for dispatching packages lacking mandatory declarations.
Rule 5,Specific Commodities in Recommended Standard Packages,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 5 read with Second Schedule",Packaging Standards,High,"Mandates that commodities specified in the Second Schedule must be packed in prescribed standard quantities. If packed in non-standard sizes, package must prominently declare: 'Not a standard pack size under the Legal Metrology (Packaged Commodities) Rules, 2011' or 'non standard size under the Legal Metrology (Packaged Commodities) Rules, 2011'.",Mandatory non-standard pack size warning label required under Rule 5 Proviso.
Rule 6(1)(a),"Name and Complete Address of Manufacturer, Packer, or Importer",Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(1)(a)",Mandatory Declarations,High,"Every package must bear the name and complete address of the manufacturer, or manufacturer and packer if different, and for imported packages, the importer. If brand owner/marketer appears, marketer is held responsible. Food packages also governed by FSSAI/PFA requirements.","Section 36(1) fine of up to Rs. 25,000 for missing or incomplete manufacturer/packer/importer details."
Rule 6(1)(b),Common or Generic Names of the Commodity,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(1)(b)",Mandatory Declarations,High,"The common or generic name of the commodity must be prominently declared on the package. For packages containing more than one product, the name and number or quantity of each product shall be declared.",Section 36(1) prosecution for deceptive or omitted generic commodity name.
Rule 6(1)(c),Net Quantity in Standard SI Metric Units,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(1)(c)",Mandatory Declarations,High,"The net quantity in terms of standard unit of weight or measure (SI units: g, kg, ml, l, m, cm, mm, N, U) or number contained in the package must be declared, excluding wrappers and tare.",Section 36(1) infraction for missing net quantity or use of non-metric units.
Rule 6(1)(d),"Month and Year of Manufacture, Pre-packing, or Import",Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(1)(d)",Mandatory Declarations,High,"Mandates declaration of month and year of manufacture, pre-packing, or import. Rubber stamping without overwriting is permissible. Food articles also adhere to FSSAI expiry/best-before standards.",Section 36(1) infraction for absent or illegible manufacturing/packing date.
Rule 6(1)(e),Retail Sale Price (MRP Inclusive of All Taxes) and Unit Sale Price (USP),Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(1)(e) as amended",Mandatory Declarations,High,"The retail sale price of the package must be declared as 'Maximum or Max. retail price Rs...../...... inclusive of all taxes' or 'MRP Rs....../...... incl., of all taxes'. In addition, Unit Sale Price (USP) must be declared per g/kg (for weight), per ml/l (for volume), or per item/piece (for number), rounded off to two decimal places.","Section 36(1) compounding assessment for absent USP, incorrect rounding, or charging above MRP."
